,y,x,osmid,highway,geometry
6056477604,1.3902041,103.8967475,6056477604,,POINT (103.8967475 1.3902041)
6056477609,1.3906737,103.8967419,6056477609,,POINT (103.8967419 1.3906737)
6056477610,1.3905138,103.8972518,6056477610,,POINT (103.8972518 1.3905138)
6056477611,1.3907405,103.896529,6056477611,,POINT (103.896529 1.3907405)
369165233,1.3899805,103.9043976,369165233,traffic_signals,POINT (103.9043976 1.3899805)
1485538242,1.4075126,103.8583469,1485538242,traffic_signals,POINT (103.8583469 1.4075126)
230851525,1.3615059,103.8929389,230851525,traffic_signals,POINT (103.8929389 1.3615059)
6728713164,1.3626254,103.9383018,6728713164,,POINT (103.9383018 1.3626254)
369165261,1.3885868,103.9061196,369165261,traffic_signals,POINT (103.9061196 1.3885868)
6905758678,1.3863929,103.8685949,6905758678,,POINT (103.8685949 1.3863929)
6905758679,1.3863951,103.868937,6905758679,,POINT (103.868937 1.3863951)
5254251491,1.3959976,103.9057164,5254251491,,POINT (103.9057164 1.3959976)
4732617756,1.3619064,103.896259,4732617756,,POINT (103.896259 1.3619064)
4732617757,1.3622429,103.8988625,4732617757,,POINT (103.8988625 1.3622429)
6792217649,1.3714271,103.898821,6792217649,,POINT (103.898821 1.3714271)
6792217650,1.3713752,103.8988757,6792217650,,POINT (103.8988757 1.3713752)
6792217651,1.3714407,103.898837,6792217651,,POINT (103.898837 1.3714407)
247432254,1.3607933,103.8982267,247432254,,POINT (103.8982267 1.3607933)
247432258,1.3611228,103.9009336,247432258,,POINT (103.9009336 1.3611228)
247432260,1.3601236,103.8983092,247432260,,POINT (103.8983092 1.3601236)
1254982738,1.3759695,103.9433705,1254982738,,POINT (103.9433705 1.3759695)
240026717,1.361422,103.8680171,240026717,,POINT (103.8680171 1.361422)
213058667,1.3692583,103.876361,213058667,traffic_signals,POINT (103.876361 1.3692583)
4405986418,1.3629857,103.8810145,4405986418,,POINT (103.8810145 1.3629857)
4405986419,1.36263,103.8805586,4405986419,,POINT (103.8805586 1.36263)
4405986420,1.3633105,103.8812709,4405986420,,POINT (103.8812709 1.3633105)
2526348404,1.3882947,103.8688207,2526348404,traffic_signals,POINT (103.8688207 1.3882947)
2526348406,1.3882685,103.8689562,2526348406,traffic_signals,POINT (103.8689562 1.3882685)
2526348405,1.3880911,103.8689257,2526348405,traffic_signals,POINT (103.8689257 1.3880911)
231867514,1.3786255,103.8717696,231867514,traffic_signals,POINT (103.8717696 1.3786255)
4433708155,1.3915398,103.8971028,4433708155,,POINT (103.8971028 1.3915398)
4433708160,1.3910947,103.8975212,4433708160,,POINT (103.8975212 1.3910947)
4433708161,1.3915751,103.8970086,4433708161,,POINT (103.8970086 1.3915751)
4433708162,1.391634,103.8968422,4433708162,traffic_signals,POINT (103.8968422 1.391634)
4433708165,1.3912216,103.8975647,4433708165,,POINT (103.8975647 1.3912216)
4433708166,1.3911692,103.8977071,4433708166,traffic_signals,POINT (103.8977071 1.3911692)
4433708168,1.3910448,103.8976622,4433708168,traffic_signals,POINT (103.8976622 1.3910448)
7191626894,1.3612374,103.8933086,7191626894,,POINT (103.8933086 1.3612374)
240026767,1.363228,103.86779,240026767,,POINT (103.86779 1.363228)
3058336928,1.4100658,103.9052272,3058336928,crossing,POINT (103.9052272 1.4100658)
3058336929,1.4110855,103.9058167,3058336929,,POINT (103.9058167 1.4110855)
5177279650,1.4026469,103.9038204,5177279650,,POINT (103.9038204 1.4026469)
5177279656,1.4023108,103.9072297,5177279656,,POINT (103.9072297 1.4023108)
5177279657,1.4024232,103.9073076,5177279657,,POINT (103.9073076 1.4024232)
5177279658,1.4024687,103.9072441,5177279658,,POINT (103.9072441 1.4024687)
5177279659,1.4023613,103.9071575,5177279659,,POINT (103.9071575 1.4023613)
5177279660,1.4022089,103.907607,5177279660,,POINT (103.907607 1.4022089)
213058728,1.36941,103.8758093,213058728,,POINT (103.8758093 1.36941)
5256742059,1.4087668,103.9020851,5256742059,,POINT (103.9020851 1.4087668)
5256742063,1.4086997,103.9019302,5256742063,,POINT (103.9019302 1.4086997)
240026798,1.3636993,103.8662041,240026798,,POINT (103.8662041 1.3636993)
5177279668,1.4036741,103.9086397,5177279668,,POINT (103.9086397 1.4036741)
5177279669,1.4028802,103.908157,5177279669,,POINT (103.908157 1.4028802)
5177279670,1.4037785,103.9068835,5177279670,,POINT (103.9068835 1.4037785)
5256742068,1.408532,103.901851,5256742068,,POINT (103.901851 1.408532)
5177279672,1.4046234,103.9073154,5177279672,,POINT (103.9073154 1.4046234)
380372171,1.3718109,103.8848637,380372171,,POINT (103.8848637 1.3718109)
380372176,1.3721201,103.8841078,380372176,,POINT (103.8841078 1.3721201)
309855449,1.3627844,103.8752933,309855449,,POINT (103.8752933 1.3627844)
309855450,1.3626604,103.8774165,309855450,,POINT (103.8774165 1.3626604)
309855452,1.3626179,103.878293,309855452,,POINT (103.878293 1.3626179)
309855454,1.3619403,103.8750279,309855454,,POINT (103.8750279 1.3619403)
309855455,1.3607438,103.8745957,309855455,,POINT (103.8745957 1.3607438)
309855456,1.360619,103.8741448,309855456,,POINT (103.8741448 1.360619)
5243307274,1.3676214,103.8595232,5243307274,,POINT (103.8595232 1.3676214)
2019165453,1.4041775,103.9024009,2019165453,,POINT (103.9024009 1.4041775)
5243307281,1.368336,103.8596097,5243307281,,POINT (103.8596097 1.368336)
5243307287,1.3678258,103.8593321,5243307287,,POINT (103.8593321 1.3678258)
5689541921,1.3636526,103.8663935,5689541921,,POINT (103.8663935 1.3636526)
5689541928,1.363703,103.8670528,5689541928,,POINT (103.8670528 1.363703)
5243307307,1.3667994,103.8598584,5243307307,,POINT (103.8598584 1.3667994)
5689541932,1.3670097,103.8782819,5689541932,,POINT (103.8782819 1.3670097)
4005070124,1.4090692,103.8968224,4005070124,,POINT (103.8968224 1.4090692)
5689541938,1.3639917,103.873128,5689541938,,POINT (103.873128 1.3639917)
5689541939,1.363501,103.8735276,5689541939,,POINT (103.8735276 1.363501)
6650955062,1.3929498,103.9122789,6650955062,,POINT (103.9122789 1.3929498)
6650955063,1.3927087,103.9120662,6650955063,,POINT (103.9120662 1.3927087)
5689541942,1.3652412,103.8789833,5689541942,,POINT (103.8789833 1.3652412)
5689541945,1.3643296,103.878648,5689541945,,POINT (103.878648 1.3643296)
4005070135,1.4090882,103.8970106,4005070135,,POINT (103.8970106 1.4090882)
5235180858,1.3606123,103.8658161,5235180858,,POINT (103.8658161 1.3606123)
5689541948,1.3678114,103.8759007,5689541948,,POINT (103.8759007 1.3678114)
5235180859,1.3605767,103.8657504,5235180859,,POINT (103.8657504 1.3605767)
5235180860,1.3602778,103.8659234,5235180860,,POINT (103.8659234 1.3602778)
5689541951,1.3677216,103.8761783,5689541951,,POINT (103.8761783 1.3677216)
5235180857,1.3603575,103.865572,5235180857,,POINT (103.865572 1.3603575)
5235180861,1.3602412,103.8658101,5235180861,,POINT (103.8658101 1.3602412)
240026969,1.3638422,103.8662551,240026969,,POINT (103.8662551 1.3638422)
6906348899,1.3992598,103.8727721,6906348899,,POINT (103.8727721 1.3992598)
6906348900,1.3994254,103.8727096,6906348900,,POINT (103.8727096 1.3994254)
6906348901,1.3993725,103.8725796,6906348901,,POINT (103.8725796 1.3993725)
6906348902,1.3993268,103.8724847,6906348902,,POINT (103.8724847 1.3993268)
6906348903,1.3994526,103.8726992,6906348903,,POINT (103.8726992 1.3994526)
6906348904,1.3994512,103.8727273,6906348904,,POINT (103.8727273 1.3994512)
5925373313,1.3634594,103.8953434,5925373313,,POINT (103.8953434 1.3634594)
380372356,1.3718188,103.8838014,380372356,,POINT (103.8838014 1.3718188)
4005070212,1.4079536,103.8968334,4005070212,,POINT (103.8968334 1.4079536)
380372358,1.3715075,103.8837377,380372358,,POINT (103.8837377 1.3715075)
6885246343,1.3606236,103.9370218,6885246343,,POINT (103.9370218 1.3606236)
6885246346,1.3620562,103.937776,6885246346,,POINT (103.937776 1.3620562)
6885246349,1.362192,103.9377769,6885246349,,POINT (103.9377769 1.362192)
6885246350,1.3610391,103.9377894,6885246350,,POINT (103.9377894 1.3610391)
4646569359,1.3721838,103.9472165,4646569359,,POINT (103.9472165 1.3721838)
6885246353,1.3612029,103.937787,6885246353,,POINT (103.937787 1.3612029)
6885246354,1.3627424,103.9356365,6885246354,,POINT (103.9356365 1.3627424)
6885246355,1.3625822,103.93564,6885246355,,POINT (103.93564 1.3625822)
6885246358,1.3610323,103.9357372,6885246358,,POINT (103.9357372 1.3610323)
6885246359,1.362199,103.9348674,6885246359,,POINT (103.9348674 1.362199)
4005070231,1.4079253,103.8978443,4005070231,,POINT (103.8978443 1.4079253)
6885246362,1.3620474,103.934868,6885246362,,POINT (103.934868 1.3620474)
6885246363,1.3611635,103.9348653,6885246363,,POINT (103.9348653 1.3611635)
6885246366,1.361031,103.934871,6885246366,,POINT (103.934871 1.361031)
376636830,1.3647808,103.8614825,376636830,,POINT (103.8614825 1.3647808)
6451168682,1.372337,103.9351584,6451168682,,POINT (103.9351584 1.372337)
6984009137,1.3654031,103.8759869,6984009137,,POINT (103.8759869 1.3654031)
6984009138,1.3652921,103.8769132,6984009138,,POINT (103.8769132 1.3652921)
6984009139,1.3650152,103.8765884,6984009139,,POINT (103.8765884 1.3650152)
6984009140,1.3656628,103.8766384,6984009140,,POINT (103.8766384 1.3656628)
240027059,1.3635512,103.8697791,240027059,traffic_signals,POINT (103.8697791 1.3635512)
6984009143,1.3650035,103.8771272,6984009143,,POINT (103.8771272 1.3650035)
6984009144,1.3653113,103.8762854,6984009144,,POINT (103.8762854 1.3653113)
376636871,1.3637117,103.8608233,376636871,,POINT (103.8608233 1.3637117)
6948455903,1.3793657,103.903901,6948455903,,POINT (103.903901 1.3793657)
370247149,1.4043894,103.8717008,370247149,,POINT (103.8717008 1.4043894)
370247150,1.4077304,103.8695583,370247150,,POINT (103.8695583 1.4077304)
376636915,1.363032,103.8599747,376636915,,POINT (103.8599747 1.363032)
7085655548,1.4187138,103.9042031,7085655548,,POINT (103.9042031 1.4187138)
7085655549,1.4187859,103.9041797,7085655549,,POINT (103.9041797 1.4187859)
3865150975,1.3800282,103.9036481,3865150975,,POINT (103.9036481 1.3800282)
3865150976,1.3800829,103.8932108,3865150976,,POINT (103.8932108 1.3800829)
5966235137,1.3868156,103.8686518,5966235137,,POINT (103.8686518 1.3868156)
3865150978,1.3801042,103.8923597,3865150978,,POINT (103.8923597 1.3801042)
5966235135,1.3867786,103.868919,5966235135,,POINT (103.868919 1.3867786)
5966235138,1.3868168,103.8689612,5966235138,,POINT (103.8689612 1.3868168)
370247169,1.4081065,103.8723403,370247169,,POINT (103.8723403 1.4081065)
3865150986,1.3802304,103.9032131,3865150986,,POINT (103.9032131 1.3802304)
370247181,1.4063592,103.8720278,370247181,,POINT (103.8720278 1.4063592)
3865150990,1.3803716,103.8928272,3865150990,,POINT (103.8928272 1.3803716)
3865150991,1.3804832,103.8929471,3865150991,,POINT (103.8929471 1.3804832)
3865150993,1.3811721,103.8930162,3865150993,,POINT (103.8930162 1.3811721)
5189371411,1.3673738,103.8814561,5189371411,,POINT (103.8814561 1.3673738)
5215061525,1.3668059,103.8924149,5215061525,,POINT (103.8924149 1.3668059)
5215061526,1.366818,103.8922944,5215061526,traffic_signals,POINT (103.8922944 1.366818)
3902801430,1.3792943,103.8827267,3902801430,,POINT (103.8827267 1.3792943)
3902801431,1.3791835,103.8832371,3902801431,,POINT (103.8832371 1.3791835)
3902801434,1.3790903,103.8783769,3902801434,,POINT (103.8783769 1.3790903)
3902801435,1.3789452,103.8784836,3902801435,,POINT (103.8784836 1.3789452)
3902801436,1.378958,103.8787904,3902801436,,POINT (103.8787904 1.378958)
4004972061,1.4012331,103.8908959,4004972061,,POINT (103.8908959 1.4012331)
4004972062,1.4012728,103.8904411,4004972062,,POINT (103.8904411 1.4012728)
3902801439,1.3787413,103.8741936,3902801439,,POINT (103.8741936 1.3787413)
3902801441,1.3788575,103.8740536,3902801441,,POINT (103.8740536 1.3788575)
380372517,1.3714077,103.8842028,380372517,,POINT (103.8842028 1.3714077)
4004972070,1.4014441,103.8950046,4004972070,,POINT (103.8950046 1.4014441)
240027174,1.3633224,103.8704943,240027174,,POINT (103.8704943 1.3633224)
4004972083,1.4017014,103.8935581,4004972083,,POINT (103.8935581 1.4017014)
5015085321,1.3918144,103.8866011,5015085321,traffic_signals,POINT (103.8866011 1.3918144)
380372538,1.3716908,103.8843573,380372538,,POINT (103.8843573 1.3716908)
5015085322,1.3917572,103.8865646,5015085322,traffic_signals,POINT (103.8865646 1.3917572)
3055715907,1.3949143,103.9227303,3055715907,,POINT (103.9227303 1.3949143)
3055715908,1.395509,103.9231243,3055715908,,POINT (103.9231243 1.395509)
4005070409,1.4078515,103.8967902,4005070409,,POINT (103.8967902 1.4078515)
380372556,1.3732525,103.8837221,380372556,,POINT (103.8837221 1.3732525)
380372557,1.3731152,103.884323,380372557,,POINT (103.884323 1.3731152)
380372558,1.3725009,103.8841942,380372558,,POINT (103.8841942 1.3725009)
6730483291,1.3624512,103.9407289,6730483291,,POINT (103.9407289 1.3624512)
4005070429,1.4080955,103.8966816,4005070429,,POINT (103.8966816 1.4080955)
4004972127,1.3999013,103.8989282,4004972127,,POINT (103.8989282 1.3999013)
4004972128,1.399907,103.8983845,4004972128,,POINT (103.8983845 1.399907)
5689673313,1.3685277,103.8997634,5689673313,,POINT (103.8997634 1.3685277)
