,u,v,key,osmid,bridge,oneway,length,geometry,service
551,2274884362,411102721,0,173144832,yes,False,53.184,"LINESTRING (103.8973393 1.4055535, 103.8974846 1.4060092)",
552,5256652555,411102704,0,173144841,yes,False,4.466,"LINESTRING (103.8999751 1.4021099, 103.8999462 1.4021378)",yard
553,5256652555,411102702,0,173144841,yes,False,22.063,"LINESTRING (103.8999751 1.4021099, 103.9001179 1.4019721)",yard
554,1839722253,2274874241,0,173144841,yes,False,16.701,"LINESTRING (103.8971938 1.3957997, 103.8972902 1.3959149)",yard
555,1839722253,1839722249,0,173144841,yes,False,24.821,"LINESTRING (103.8971938 1.3957997, 103.8970037 1.3956826)",yard
556,1839722255,2274924964,0,173144843,yes,False,76.645,"LINESTRING (103.8952757 1.3958525, 103.894615 1.3960496)",yard
557,1839722255,242967218,0,173144843,yes,False,151.311,"LINESTRING (103.8952757 1.3958525, 103.8966035 1.395553)",yard
558,2274881297,2274880250,0,218215447,yes,False,219.863,"LINESTRING (103.902226 1.401414, 103.9039999 1.4005395)",
559,2274881297,2274881393,0,218215447,yes,False,42.398,"LINESTRING (103.902226 1.401414, 103.9018846 1.401584)",
560,1839722259,1839722247,0,173144841,yes,False,154.857,"LINESTRING (103.8952092 1.3960017, 103.896564 1.3956775)",yard
561,1839722259,2274924965,0,173144841,yes,False,52.827,"LINESTRING (103.8952092 1.3960017, 103.8947548 1.3961408)",yard
562,1839722261,242967277,0,173144841,yes,False,38.489,"LINESTRING (103.8973814 1.3960468, 103.8975477 1.3963504)",yard
563,1839722261,2274874241,0,173144841,yes,False,17.829,"LINESTRING (103.8973814 1.3960468, 103.8972902 1.3959149)",yard
564,2274884379,2274884602,0,173144836,yes,False,51.782,"LINESTRING (103.8972466 1.4055792, 103.8973899 1.4060223)",
565,2274884379,2274884044,0,173144836,yes,False,66.518,"LINESTRING (103.8972466 1.4055792, 103.8970791 1.4050049)",
566,2274883357,2274883439,0,173144832,yes,False,21.21,"LINESTRING (103.9014852 1.4037978, 103.9016149 1.4039377)",
