,u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,service,bridge,access,tunnel,junction
1220,4004991073,4004994426,0,644261178,False,,service,,52.303,"LINESTRING (103.8987185 1.4049668, 103.8988452 1.4054198)",,driveway,,,,
1221,4004994408,4914448731,0,644262613,False,,service,,28.467,"LINESTRING (103.8975629 1.4053256, 103.8976338 1.4055716)",2,driveway,,,,
1222,4004994408,4004994409,0,397720920,False,,service,,28.662,"LINESTRING (103.8975629 1.4053256, 103.897699 1.405313, 103.8978181 1.4053352)",,driveway,,,,
1223,4004994408,4568417968,0,"[644261176, 461334789]",False,,"['service', 'footway']",,345.46500000000003,"LINESTRING (103.8975629 1.4053256, 103.8974755 1.4050116, 103.8974742 1.4049875, 103.8974762 1.404966, 103.8974818 1.4049432, 103.8974939 1.404926, 103.8975157 1.4049124, 103.8983154 1.4046659, 103.8983956 1.4046088, 103.8987038 1.4045149, 103.8994275 1.4043015, 103.9000282 1.4040436)",2,driveway,,,,
1224,4004994409,4004994408,0,397720920,False,,service,,28.662,"LINESTRING (103.8978181 1.4053352, 103.897699 1.405313, 103.8975629 1.4053256)",,driveway,,,,
1225,4004994426,4004991073,0,644261178,False,,service,,52.303,"LINESTRING (103.8988452 1.4054198, 103.8987185 1.4049668)",,driveway,,,,
1226,4004994426,4004994833,0,397720918,False,,service,,86.28899999999999,"LINESTRING (103.8988452 1.4054198, 103.8989467 1.4057617, 103.8989547 1.4058274, 103.8989449 1.4058816, 103.8989364 1.4059129, 103.8989383 1.4059595, 103.898942 1.4060098, 103.8989306 1.406054, 103.8989131 1.4060782, 103.8989145 1.4061713)",2,driveway,,,,
1227,4004994426,4004994429,0,397720921,False,,service,,32.812,"LINESTRING (103.8988452 1.4054198, 103.8986701 1.4054446, 103.8985523 1.4054335)",,driveway,,,,
1228,4004994429,4004994426,0,397720921,False,,service,,32.812,"LINESTRING (103.8985523 1.4054335, 103.8986701 1.4054446, 103.8988452 1.4054198)",,driveway,,,,
1229,4004994591,368899628,0,445716728,False,Punggol Way,secondary,60,36.679,"LINESTRING (103.897594 1.4060407, 103.8976929 1.4063554)",3,,,,,
1230,4004994591,4914448730,0,717446182,False,Punggol Way,secondary,60,48.499,"LINESTRING (103.897594 1.4060407, 103.8974449 1.4056308)",3,,,,,
1231,4004994591,4430972624,0,445716721,False,,secondary_link,50,62.227999999999994,"LINESTRING (103.897594 1.4060407, 103.8977245 1.4061768, 103.8977898 1.4062337, 103.8978872 1.4062909, 103.8980464 1.406355)",1,,,,,
1232,4004994833,4004994835,0,644261177,False,,service,,19.314,"LINESTRING (103.8989145 1.4061713, 103.8989014 1.4063445)",2,driveway,,,,
1233,4004994833,4914448731,0,397720917,False,,service,,183.663,"LINESTRING (103.8989145 1.4061713, 103.8985224 1.4061575, 103.8983469 1.4061541, 103.897994 1.4061326, 103.8979241 1.4061223, 103.8978712 1.406107, 103.8978421 1.4060953, 103.8978103 1.4060729, 103.897777 1.4060305, 103.8977572 1.4059667, 103.8976505 1.4056293, 103.8976338 1.4055716)",2,driveway,,,,
1234,4004994833,4004994426,0,397720918,False,,service,,86.289,"LINESTRING (103.8989145 1.4061713, 103.8989131 1.4060782, 103.8989306 1.406054, 103.898942 1.4060098, 103.8989383 1.4059595, 103.8989364 1.4059129, 103.8989449 1.4058816, 103.8989547 1.4058274, 103.8989467 1.4057617, 103.8988452 1.4054198)",2,driveway,,,,
